"index","sex","ages","age_label","sentiment","label","public"
0,"2","3.7",NA,1,"спс",1
1,"2","22.9",NA,0,"благо",1
2,"1","27.8.2006",1,0,"спс",1
3,"2","14.10.2002",2,1,"пасибо",1
4,"1","8.10",NA,1,"спс",1
5,"1","12.8.2007",1,0,"пасибо",1
6,"2","3.7",NA,0,"спс",1
7,"2","3.7",NA,0,"спс",1
8,"2","23.7.2006",1,0,"благо",1
9,"2","12.2.2001",2,0,"спс",1
10,"1","",NA,1,"благо",1
11,"2","",NA,0,"благо",1
12,"2","10.2",NA,1,"благо",1
13,"2","14.8.2006",1,0,"спс",1
14,"2","29.11.1988",3,0,"спс",1
15,"1","24.10",NA,1,"спс",1
16,"2","12.2.2001",2,0,"спс",1
17,"2","17.1.2005",2,1,"спс",1
18,"1","7.5.2008",1,0,"спс",1
19,"1","5.4.2003",2,0,"пасибо",1
20,"2","13.3.1971",3,0,"спс",1
21,"2","12.2.2001",2,0,"спс",1
22,"2","4.9.1998",2,1,"пасибо",1
23,"1","16.8.1952",NA,0,"спс",1
24,"2","",NA,1,"благо",1
25,"2","23.7.2006",1,1,"благо",1
26,"2","12.12.2004",2,1,"спс",1
27,"1","30.4",NA,2,"спс",1
28,"2","21.7",NA,1,"пасибо",1
29,"2","5.6",NA,0,"благо",1
30,"2","30.7.2001",2,2,"спс",1
31,"1","25.2",NA,0,"спс",1
32,"2","10.9.1975",3,0,"благо",1
33,"1","20.6.2007",1,1,"благо",1
34,"2","23.7.2006",1,1,"благо",1
35,"2","27.3.1999",2,0,"спс",1
36,"2","22.12.1991",3,0,"спс",1
37,"1","",NA,0,"спс",1
40,"2","23.7.2006",1,1,"благо",1
41,"2","27.4.2008",1,0,"пасибо",1
42,"2","13.4.2000",2,0,"спс",1
43,"1","",NA,1,"спс",1
44,"2","",NA,0,"благо",1
46,"2","",NA,1,"спс",1
50,"2","19.8.2006",1,0,"пасибо",1
51,"1","24.8.2006",1,1,"благо",1
52,"1","11.10.2000",2,1,"пасибо",1
53,"1","",NA,2,"пасибо",1
54,"2","12.11.2002",2,1,"пасибо",1
58,"2","1.9",NA,1,"спс",1
59,"1","12.5.2008",1,1,"спс",1
60,"2","16.1",NA,0,"спс",1
61,"2","15.6",NA,1,"спс",1
62,"2","9.2.1993",3,0,"благо",1
63,"1","19.3.2008",1,1,"спс",1
64,"1","7.3.2008",1,0,"спс",1
65,"2","",NA,1,"спс",1
66,"2","30.1.1989",3,1,"спс",1
67,"2","17.11.2003",2,1,"благо",1
68,"2","17.6.2004",2,0,"спс",1
69,"2","12.7.1902",NA,1,"благо",1
70,"2","23.11",NA,1,"спс",1
71,"2","10.2.2000",2,0,"пасибо",1
72,"1","31.3.2002",2,1,"спс",1
73,"2","12.10.1991",3,0,"пасибо",1
74,"2","16.7.2003",2,1,"благо",1
75,"2","",NA,0,"благо",1
76,"2","28.11.1989",3,1,"благо",1
77,"2","20.11.2004",2,1,"благо",1
78,"1","4.4.2007",1,1,"спс",1
79,"1","31.8.2002",2,1,"спс",1
80,"1","",NA,0,"спс",1
81,"2","20.10.1994",2,1,"благо",1
82,"1","25.10.2004",2,2,"пасибо",1
83,"2","",NA,0,"спс",1
84,"2","20.9.2006",1,0,"спс",1
85,"2","8.5.2004",2,2,"пасибо",1
86,"2","11.1.2001",2,0,"спс",1
87,"2","",NA,1,"спс",1
88,"2","",NA,2,"благо",1
89,"2","19.4",NA,0,"благо",1
90,"1","28.5.2007",1,0,"спс",1
91,"1","4.8.2006",1,0,"спс",1
93,"2","",NA,2,"благо",1
94,"2","3.4.2006",1,2,"благо",1
96,"1","20.6.2005",2,0,"пасибо",1
97,"2","8.11",NA,0,"пасибо",1
98,"2","7.2.2001",2,0,"благо",1
99,"2","26.1.2007",1,1,"пасибо",1
100,"2","29.6.1998",2,0,"спс",1
101,"2","13.12.2001",2,1,"благо",1
102,"1","8.6",NA,1,"спс",1
103,"2","20.11.2004",2,1,"благо",1
104,"2","26.4.2004",2,0,"спс",1
105,"2","23.6.1999",2,2,"пасибо",1
106,"2","",NA,0,"пасибо",1
107,"2","",NA,0,"спс",1
108,"2","29.4.2006",1,2,"спс",1
109,"2","",NA,0,"благо",1
110,"2","11.9.2000",2,2,"благо",1
111,"2","25.4.2003",2,1,"благо",1
112,"2","27.11.2003",2,0,"спс",1
113,"2","18.3",NA,0,"пасибо",1
114,"2","19.1.2007",1,1,"пасибо",1
115,"2","1.7.2001",2,0,"пасибо",1
116,"2","28.3.1996",2,2,"благо",1
117,"1","",NA,1,"благо",1
118,"1","2.2.2006",1,1,"спс",1
119,"2","1.3.2003",2,0,"благо",1
120,"2","",NA,0,"спс",1
123,"2","1.1.1990",3,1,"благо",1
124,"2","1.8.1991",3,2,"благо",1
125,"2","7.11.2008",1,0,"спс",1
126,"1","16.9.2002",2,0,"спс",1
127,"2","",NA,0,"спс",1
128,"1","7.4.1983",3,1,"благо",1
129,"2","3.2",NA,0,"пасибо",1
130,"1","29.3",NA,0,"спс",1
131,"2","20.11.2004",2,1,"благо",1
132,"2","1.1.1990",3,0,"благо",1
133,"2","9.1.2006",1,0,"благо",1
134,"2","",NA,0,"пасибо",1
135,"1","18.6.2006",1,2,"пасибо",1
136,"2","26.2.2004",2,0,"пасибо",1
137,"1","3.7",NA,0,"пасибо",1
138,"2","30.10.2001",2,0,"пасибо",1
139,"2","25.12.2001",2,0,"спс",1
140,"1","",NA,0,"мерси",1
141,"1","",NA,1,"спс",1
142,"1","7.2.2002",2,1,"спс",1
143,"2","24.8.2005",1,0,"спс",1
144,"1","",NA,1,"благо",1
145,"2","6.1.1907",NA,2,"спс",1
146,"2","11.2.2004",2,0,"благо",1
147,"2","14.3.2003",2,1,"благо",1
149,"2","11.1",NA,1,"благо",1
150,"2","5.1",NA,1,"благо",1
151,"2","18.6.2007",1,2,"спс",1
152,"1","29.11",NA,0,"благо",1
153,"2","",NA,2,"пасибо",1
155,"2","11.7.2004",2,0,"спс",1
156,"2","26.6",NA,1,"спс",1
157,"1","12.7",NA,1,"благо",1
158,"2","",NA,0,"благо",1
159,"2","1.2",NA,1,"благо",1
160,"2","10.1.2008",1,2,"спс",1
161,"1","4.5",NA,1,"благо",1
162,"1","7.7.2004",2,0,"пасибо",1
163,"1","2.10.2008",1,0,"спс",1
164,"2","10.7.2001",2,0,"спс",1
165,"2","5.4.2008",1,0,"спс",1
166,"2","31.12.1995",2,0,"благо",1
167,"2","19.3.2002",2,0,"спс",1
168,"2","",NA,0,"благо",1
170,"1","1.8",NA,1,"благо",1
172,"2","18.5.2008",NA,1,"благо",1
173,"2","13.12.1911",NA,1,"благо",1
175,"1","1.8",NA,1,"благо",1
176,"2","22.9",NA,0,"благо",1
177,"2","15.1",NA,1,"благо",1
178,"2","16.8",NA,1,"благо",1
179,"1","23.12.2005",1,1,"благо",1
180,"2","17.12.2006",1,1,"благо",1
181,"2","6.9.2000",2,0,"благо",1
182,"2","24.4.2000",2,2,"благо",1
183,"1","4.4",NA,1,"спс",1
185,"1","27.8.2006",1,0,"спс",1
186,"1","11.4.2006",1,1,"благо",1
187,"2","29.2.2000",2,0,"благо",1
188,"2","10.3.2006",1,0,"спс",1
189,"2","",NA,1,"благо",1
190,"1","30.7.1902",NA,0,"пасибо",1
191,"1","24.4.2006",1,1,"благо",1
192,"2","29.2.2000",2,2,"благо",1
193,"1","20.7.2007",1,0,"благо",1
195,"2","6.2.2003",2,1,"благо",1
196,"2","23.3.1901",NA,0,"мерси",1
197,"1","",NA,0,"благо",1
198,"2","29.1",NA,1,"спс",1
199,"2","20.12.2005",1,1,"благо",1
200,"1","1.11.1986",3,2,"пасибо",1
201,"2","1.12",NA,0,"спс",1
204,"2","",NA,1,"благо",1
205,"2","5.7",NA,0,"благо",1
206,"2","3.11.1998",2,0,"благо",1
207,"2","19.2.2008",1,0,"благо",1
208,"1","",NA,0,"спс",1
209,"1","26.1.2007",1,1,"благо",1
210,"2","25.4",NA,1,"спс",1
211,"1","",NA,1,"благо",1
212,"1","6.1.2002",2,0,"пасибо",1
216,"2","",NA,0,"благо",1
217,"2","17.1.2005",2,1,"благо",1
218,"2","19.4.2001",2,1,"благо",1
219,"2","27.7.1903",NA,0,"спс",1
220,"2","16.2",NA,2,"пасибо",1
221,"2","12.9.2002",2,1,"спс",1
222,"1","",NA,0,"пасибо",1
223,"2","7.11.2007",1,1,"спс",1
224,"2","",NA,0,"спс",1
225,"2","2.7.2004",2,0,"благо",1
226,"1","27.2.2007",1,1,"спс",1
227,"2","25.5.2008",1,0,"спс",1
228,"2","25.3.2006",1,1,"спс",1
229,"2","10.6.2004",2,0,"пасибо",1
230,"2","",NA,0,"спс",1
231,"2","16.8.2003",2,1,"благо",1
232,"2","14.1.2003",2,2,"пасибо",1
233,"2","9.1.2008",1,0,"спс",1
234,"1","2.10.2003",2,2,"спс",1
235,"2","",NA,0,"благо",1
236,"2","11.5.2004",2,0,"благо",1
237,"2","",NA,1,"спс",1
238,"2","8.5.1987",3,0,"благо",1
239,"2","8.5.1987",3,0,"благо",1
240,"1","",NA,1,"благо",1
241,"1","2.12.2007",1,0,"спс",1
242,"2","",NA,1,"благо",1
243,"2","9.6",NA,1,"благо",1
244,"1","16.4.2007",1,0,"благо",1
245,"1","",NA,1,"благо",1
249,"1","22.9",NA,1,"спс",1
250,"2","28.1.1991",3,1,"благо",1
251,"2","31.1.2006",1,1,"благо",1
252,"2","21.12.1991",3,1,"благо",1
253,"2","27.10",NA,1,"благо",1
254,"2","16.9.1995",2,1,"благо",1
255,"1","12.4.2001",2,0,"благо",1
256,"2","28.6",NA,1,"благо",1
257,"2","10.12.1999",2,0,"спс",1
258,"1","12.4.2001",2,0,"благо",1
259,"2","23.9",NA,1,"спс",1
260,"2","2.8.1951",NA,1,"спс",1
261,"1","12.10.1902",NA,1,"спс",1
262,"2","1.1.1901",NA,1,"спс",1
263,"2","26.1.2006",1,0,"пасибо",1
264,"2","25.6.2000",2,0,"спс",1
265,"2","",NA,2,"благо",1
270,"1","12.4.2001",2,1,"благо",1
272,"2","20.7.2002",2,0,"благо",1
273,"2","20.2.2003",2,2,"благо",1
274,"2","15.6",NA,0,"пасибо",1
275,"2","20.4.1988",3,0,"пасибо",1
276,"2","1.1.1901",NA,0,"благо",1
277,"2","10.9",NA,2,"спс",1
278,"1","5.1",NA,1,"благо",1
279,"2","11.2",NA,1,"спс",1
280,"1","19.8.2003",2,1,"благо",1
281,"2","15.3",NA,0,"спс",1
282,"1","6.8.2003",2,2,"спс",1
284,"1","31.10",NA,1,"благо",1
285,"2","5.3",NA,0,"пасибо",1
286,"2","19.10.1994",2,1,"благо",1
287,"2","15.7.1996",2,2,"спс",1
288,"2","7.11",NA,1,"благо",1
289,"2","4.1.2006",1,1,"благо",1
290,"2","22.7.2005",1,1,"спс",1
291,"1","23.1.2006",1,1,"благо",1
292,"1","23.1.2006",1,1,"благо",1
293,"2","22.4",NA,1,"благо",1
294,"2","5.5",NA,0,"спс",1
295,"2","8.10.2002",2,0,"благо",1
297,"2","",NA,0,"благо",1
298,"2","23.11.1999",2,1,"благо",1
299,"1","21.10",NA,1,"спс",1
300,"2","3.12.2008",1,0,"спс",1
0,"2","22.3",NA,0,"спс",2
1,"1","",NA,1,"спс",2
2,"2","1.2.1993",3,2,"спс",2
3,"2","",NA,2,"пасибо",2
4,"2","17.8",NA,1,"спс",2
5,"2","2.8.1988",3,0,"спс",2
6,"2","21.12",NA,1,"спс",2
7,"2","4.7.1984",NA,1,"благо",2
8,"2","4.7.1984",NA,1,"благо",2
9,"2","4.7.1984",NA,1,"благо",2
10,"2","4.7.1984",3,1,"благо",2
11,"2","16.9.2002",2,0,"пасибо",2
12,"2","13.8.1994",NA,0,"благо",2
13,"2","13.8.1994",2,0,"благо",2
14,"2","28.11.1998",2,0,"благо",2
15,"2","1.2.1940",NA,2,"благо",2
16,"2","21.10.1919",NA,1,"благо",2
17,"1","",NA,1,"благо",2
18,"2","3.11.1993",2,1,"спс",2
19,"2","19.8.1996",2,1,"благо",2
20,"2","5.10",NA,2,"спс",2
21,"2","29.11",NA,0,"благо",2
22,"2","4.5.2002",2,0,"спс",2
23,"2","",NA,2,"спс",2
24,"2","17.8",NA,1,"спс",2
25,"2","1.1.1969",3,1,"благо",2
26,"1","22.12.1983",3,1,"благо",2
27,"2","6.3",NA,1,"спс",2
28,"2","9.5.1989",3,0,"спс",2
29,"2","",NA,2,"благо",2
30,"2","8.11.2003",2,0,"спс",2
31,"2","1.1.1985",3,2,"спс",2
32,"2","27.11.1998",2,0,"благо",2
33,"2","",NA,0,"пасибо",2
34,"2","29.12",NA,2,"спс",2
35,"1","17.11.2000",2,2,"пасибо",2
36,"2","18.12.1993",2,0,"благо",2
37,"2","29.12",NA,1,"спс",2
38,"2","23.11",NA,2,"спс",2
39,"2","6.8",NA,0,"спс",2
40,"2","29.12",NA,0,"спс",2
41,"2","3.6.1995",2,0,"спс",2
42,"2","15.3.1996",2,0,"спс",2
43,"2","27.4",NA,1,"благо",2
44,"2","",NA,0,"благо",2
45,"2","11.8.1995",2,1,"благо",2
46,"2","27.7.2001",2,0,"благо",2
47,"2","",NA,2,"спс",2
48,"1","1.8.1979",3,0,"спс",2
49,"1","5.11",NA,1,"мерси",2
50,"2","29.11.1996",2,1,"спс",2
51,"2","",NA,1,"благо",2
52,"2","7.7.1997",2,0,"спс",2
53,"2","9.2.1993",3,1,"спс",2
54,"2","5.4.1996",2,2,"благо",2
55,"1","30.11.1996",2,1,"благо",2
56,"2","",NA,0,"спс",2
57,"2","13.6.1990",3,2,"спс",2
58,"2","23.4.1999",2,1,"пасибо",2
59,"2","",NA,1,"благо",2
60,"2","28.12.1987",3,2,"пасибо",2
61,"2","20.6.2001",2,1,"благо",2
62,"1","12.6.1972",3,0,"благо",2
63,"2","29.6.1980",3,0,"спс",2
64,"2","",NA,1,"спс",2
65,"2","",NA,0,"благо",2
66,"2","23.5",NA,1,"благо",2
67,"2","4.2.2003",2,0,"спс",2
68,"2","29.12",NA,0,"спс",2
69,"2","5.4",NA,1,"пасибо",2
70,"2","15.3",NA,1,"благо",2
71,"2","1.2.1993",3,2,"спс",2
72,"2","",NA,0,"спс",2
73,"сообщество","сообщество",NA,2,"спс",2
74,"2","4.3.1994",2,2,"благо",2
75,"2","",NA,2,"спс",2
76,"2","1.2.1993",3,0,"спс",2
77,"сообщество","сообщество",NA,0,"спс",2
78,"1","",NA,2,"спс",2
79,"1","22.2",NA,0,"благо",2
80,"2","27.1",NA,0,"пасибо",2
81,"2","6.6.2000",2,0,"спс",2
82,"2","17.10.1988",3,0,"благо",2
83,"2","",NA,2,"благо",2
84,"2","30.1",NA,2,"благо",2
85,"2","21.8.1980",3,1,"спс",2
86,"1","",NA,2,"благо",2
87,"2","1.7.1969",3,0,"спс",2
88,"2","28.11.1998",2,0,"благо",2
89,"2","26.8.2001",2,1,"благо",2
90,"2","26.8.2001",2,1,"благо",2
91,"2","29.2.2004",2,0,"пасибо",2
92,"2","15.5.2005",2,2,"спс",2
93,"2","1.2.1993",3,2,"спс",2
94,"2","",NA,2,"благо",2
95,"2","",NA,2,"пасибо",2
96,"2","3.2.1996",2,0,"пасибо",2
97,"2","12.9",NA,2,"благо",2
98,"2","7.11",NA,0,"мерси",2
99,"2","17.7",NA,2,"спс",2
100,"2","12.9",NA,2,"благо",2
101,"2","",NA,1,"благо",2
102,"1","21.10",NA,1,"благо",2
103,"2","",NA,1,"благо",2
104,"2","1.1.2002",2,1,"благо",2
105,"2","1.2.1993",3,2,"спс",2
106,"2","30.9.1995",2,0,"благо",2
107,"2","",NA,0,"благо",2
108,"2","6.2.2000",2,0,"благо",2
109,"2","15.10",NA,1,"благо",2
110,"2","21.10.1995",2,1,"спс",2
111,"2","26.1",NA,0,"пасибо",2
112,"2","21.10.1995",2,2,"спс",2
113,"2","",NA,2,"спс",2
114,"2","",NA,0,"благо",2
115,"1","",NA,1,"благо",2
116,"1","5.4.1988",3,0,"благо",2
117,"1","5.4.1988",3,0,"благо",2
118,"2","10.4.1998",2,1,"благо",2
119,"2","20.8.1984",3,2,"спс",2
120,"2","31.12.1994",2,1,"спс",2
121,"2","",NA,2,"спс",2
122,"2","",NA,0,"спс",2
123,"2","",NA,0,"спс",2
124,"2","18.11.2001",NA,0,"спс",2
125,"2","18.11.2001",2,0,"спс",2
126,"2","18.11.2001",2,0,"спс",2
127,"1","1.1.1979",NA,1,"мерси",2
128,"2","4.9.2002",2,0,"пасибо",2
129,"2","6.7",NA,0,"мерси",2
130,"2","24.5",NA,0,"пасибо",2
131,"2","21.2.2000",2,1,"благо",2
132,"1","6.6.2000",2,1,"благо",2
133,"2","10.6.1985",3,2,"благо",2
134,"2","23.1.1988",3,1,"благо",2
135,"2","",NA,1,"благо",2
136,"2","21.10.2005",1,2,"спс",2
137,"2","1.4.1976",3,0,"спс",2
138,"2","",NA,1,"пасибо",2
139,"2","27.6.2000",2,1,"пасибо",2
140,"1","",NA,0,"спс",2
141,"1","26.11.1998",2,1,"благо",2
142,"2","28.11.1998",2,0,"благо",2
143,"2","1.4.1976",3,2,"спс",2
144,"1","",NA,1,"благо",2
145,"2","15.12.1992",3,1,"пасибо",2
146,"2","",NA,1,"благо",2
147,"2","1.1",NA,0,"0",2
148,"2","",NA,2,"спс",2
149,"2","30.3.1990",3,0,"благо",2
150,"2","",NA,2,"благо",2
151,"2","",NA,2,"благо",2
152,"2","",NA,2,"благо",2
153,"2","",NA,2,"благо",2
154,"2","",NA,2,"благо",2
155,"2","",NA,2,"благо",2
156,"2","",NA,2,"благо",2
157,"2","",NA,2,"благо",2
158,"1","19.1.1945",3,2,"благо",2
159,"1","25.5.1983",3,1,"благо",2
160,"2","1.1.1902",NA,0,"благо",2
161,"2","9.4.2000",2,1,"пасибо",2
162,"2","",NA,2,"спс",2
163,"2","",NA,0,"спс",2
164,"2","",NA,0,"спс",2
165,"2","",NA,2,"спс",2
166,"1","6.3.1994",2,1,"благо",2
